"Source:","C:\Users\trevo\kicad\projects\desk_lamp\desk_lamp\desk_lamp.sch"
"Date:","9/16/2020 6:00:35 PM"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","31"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C3, ","3","100n","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"D1, ","1","TBAT54S,LM","TBAT54S,LM","nezbyte:SOT-23","Schottky Diodes & Rectifiers Small-Signal Schotky 0.2A 30V",""
"J1, J2, ","2","CON-SOCJ-2155","CON-SOCJ-2155","nezbyte:BarrelJack_CUI_PJ-102AH_Horizontal","DC Power Connectors Power Jack/Connector 2.1mm x 5.5mm",""
"J3, ","1","Phoenix_Contact_1989764","Phoenix_Contact_1989764","nezbyte:PhoenixContact_PTSA_0,5_4-2,5-F_P2.50mm_Horizontal","Fixed Terminal Blocks PTSA 0.5/ 4-2.5-F",""
"Q1, ","1","2N7002K","2N7002K","Package_TO_SOT_SMD:SOT-23","0.38A Id, 60V Vds, N-Channel MOSFET, SOT-23",""
"Q2, ","1","MCB150N06YB-TP","MCB150N06YB-TP","nezbyte:TO-263-3_TabPin2","MOSFET N-Ch 60Vds 20Vgs 500A 187W 430pF",""
"R1, R2, R3, R4, R5, R6, R7, R8, R9, ","9","10k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"TP1, ","1","12V","TestPoint_5019","nezbyte:TestPoint_5019","PC TEST POINT MINI SMD",""
"TP2, ","1","GND","TestPoint_5019","nezbyte:TestPoint_5019","PC TEST POINT MINI SMD",""
"TP3, ","1","SW0","TestPoint_5019","nezbyte:TestPoint_5019","PC TEST POINT MINI SMD",""
"TP4, ","1","SW1","TestPoint_5019","nezbyte:TestPoint_5019","PC TEST POINT MINI SMD",""
"TP5, ","1","CTRL","TestPoint_5019","nezbyte:TestPoint_5019","PC TEST POINT MINI SMD",""
"TP6, ","1","3.3V","TestPoint_5019","nezbyte:TestPoint_5019","PC TEST POINT MINI SMD",""
"TP7, ","1","2.5V","TestPoint_5019","nezbyte:TestPoint_5019","PC TEST POINT MINI SMD",""
"TP8, ","1","1.2V","TestPoint_5019","nezbyte:TestPoint_5019","PC TEST POINT MINI SMD",""
"U1, ","1","MCP1799T-3302H_DB","MCP1799T-3302H_DB","nezbyte:SOT-89-3","LDO Voltage Regulators High Voltage LDO 3.3V 3-Ld SOT-223",""
"U2, ","1","MIC5365-1.2YC5-TR","MIC5365-1.2YC5-TR","nezbyte:SOT-353_SC-70-5","LDO Voltage Regulators Ultra Small Single 150mA LDO",""
"U3, ","1","ECS-TXO-25CSMV-320-AM-TR","ECS-TXO-25CSMV-320-AM-TR","nezbyte:Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm","TCXO Oscillators 32MHz 0.5ppm 1.7V to 3.465V",""
"U4, ","1","ICE40LP384-SG32","ICE40LP384-SG32","nezbyte:QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm_ThermalVias","FPGA - Field Programmable Gate Array iCE40LP Ultra LowPwr 384 LUTs 1.2V",""
"U5, ","1","W25X10CLSNIG","W25X10CLSNIG","nezbyte:SOIC-8_3.9x4.9mm_P1.27mm","NOR Flash spiFlash, 1M-bit, 4Kb Uniform Sector",""
